mse,model_type,r2,model_library
6.852948417342657,DecisionTreeRegressor,0.3346539446183613,sklearn
6.852948417342657,DecisionTreeRegressor,0.3346539446183613,sklearn
6.852948417342657,DecisionTreeRegressor,0.3346539446183613,sklearn
6.852948417342657,DecisionTreeRegressor,0.3346539446183613,sklearn
6.852948417342657,DecisionTreeRegressor,0.3346539446183613,sklearn
6.852948417342657,DecisionTreeRegressor,0.3346539446183613,sklearn
6.852948417342657,DecisionTreeRegressor,0.3346539446183613,sklearn
6.852948417342657,DecisionTreeRegressor,0.3346539446183613,sklearn
6.852948417342657,DecisionTreeRegressor,0.3346539446183613,sklearn
6.852948417342657,DecisionTreeRegressor,0.3346539446183613,sklearn
