fprs,tprs,roc_auc_scores,f1_scores,model_type,model_library
"[array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ])]","[array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ])]",0.5935997040325565,0.5607476635514018,DecisionTreeClassifier,sklearn
"[array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ])]","[array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ])]",0.5935997040325565,0.5607476635514018,DecisionTreeClassifier,sklearn
"[array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ])]","[array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ])]",0.5935997040325565,0.5607476635514018,DecisionTreeClassifier,sklearn
"[array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ])]","[array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ])]",0.5935997040325565,0.5607476635514018,DecisionTreeClassifier,sklearn
"[array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ])]","[array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ])]",0.5935997040325565,0.5607476635514018,DecisionTreeClassifier,sklearn
"[array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ])]","[array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ])]",0.5935997040325565,0.5607476635514018,DecisionTreeClassifier,sklearn
"[array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ])]","[array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ])]",0.5935997040325565,0.5607476635514018,DecisionTreeClassifier,sklearn
"[array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ])]","[array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ])]",0.5935997040325565,0.5607476635514018,DecisionTreeClassifier,sklearn
"[array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ])]","[array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ])]",0.5935997040325565,0.5607476635514018,DecisionTreeClassifier,sklearn
"[array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ]), array([0.        , 0.35294118, 0.47058824, 0.68627451, 0.94117647,
       0.99019608, 1.        ])]","[array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ]), array([0.        , 0.51886792, 0.56603774, 0.81132075, 1.        ,
       1.        , 1.        ])]",0.5935997040325565,0.5607476635514018,DecisionTreeClassifier,sklearn
