mse,model_type,r2,model_library
9.117687918660287,RandomForestRegressor,0.1147726027633229,sklearn
9.20500610047847,RandomForestRegressor,0.10629496594224319,sklearn
9.2457745215311,RandomForestRegressor,0.10233679983918875,sklearn
9.165936483253589,RandomForestRegressor,0.11008819684415094,sklearn
9.18576399521531,RandomForestRegressor,0.10816316311146179,sklearn
9.202799162679426,RandomForestRegressor,0.10650923537339052,sklearn
9.14683504784689,RandomForestRegressor,0.1119427365146688,sklearn
9.169303947368421,RandomForestRegressor,0.10976125304872231,sklearn
9.148606220095694,RandomForestRegressor,0.11177077513434364,sklearn
9.156347607655501,RandomForestRegressor,0.11101917139206774,sklearn
